"search-number","evaluation","carrying-capacity*","number-of-fishers*","exploration-probability*","price-of-fish*","hourly-costs*","speed*","catchability*","diffusion-rate*","exploration-radius*","growth-rate*","min-mpa-x*","max-mpa-x*","min-mpa-y*","max-mpa-y*","update-plots?*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","4","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-3","3","-3","4","false","4","896664.869029951","16","902459.8330957309"
"2","4","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-4","-2","2","3","false","4","282538.51201378956","16","296492.32213012065"
"2","12","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-3","2","4","2","false","4","287558.4566791544","16","225727.36614424872"
"2","16","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","4","-5","3","5","false","4","294746.16993330506","16","268766.0183535021"
"2","92","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","4","4","5","-2","false","4","308896.6689058244","16","267179.08544207964"
"2","124","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","2","-5","2","-5","false","4","397493.13517707575","16","211947.95462185086"
"2","152","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-1","2","2","-5","false","4","404239.31750331813","16","222550.42349125925"
"2","164","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","0","2","-2","2","false","4","468449.7641000643","16","267940.7359504275"
"2","224","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-4","-1","-2","2","false","4","482514.5884505204","16","466309.20517401764"
"2","240","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-1","3","-2","2","false","4","518092.8766549294","16","445614.2507771106"
"2","252","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-3","4","-1","5","false","4","776316.3526168785","16","774909.6734533029"
"3","4","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-2","2","-4","-3","false","4","344111.243884002","16","333187.36511869583"
"3","12","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-5","4","-1","2","false","4","725186.2144235879","16","697708.6226555216"
"3","156","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-5","5","-4","2","false","4","887475.4427969684","16","861862.976808732"
"4","4","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","3","2","1","-2","false","4","349242.0109278053","16","251248.99728087653"
"4","24","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-5","0","-5","-1","false","4","395278.49757916346","16","406721.3796268262"
"4","48","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-3","1","1","4","false","4","529791.9411113055","16","404221.30626655027"
"4","240","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","2","5","-1","4","false","4","771361.4248855934","16","739898.802622992"
"4","556","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","2","5","-1","4","false","8","858520.4643615547","16","810407.8304332803"
"5","4","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","4","4","-5","-3","false","4","341750.7699776652","16","259036.8437984981"
"5","24","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-5","-4","0","4","false","4","368573.26327426865","16","377103.54504097067"
"5","36","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-5","2","-5","-1","false","4","438752.2735565223","16","434568.2575168225"
"5","80","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-3","3","-3","5","false","4","869390.9951066114","16","844048.8968536361"
"5","444","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-5","5","-3","3","false","4","935299.3793350797","16","910820.8409498772"
