"search-number","evaluation","exploration-probability*","exploration-radius*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","3","0.07","7.63","3","661072.2846632702","10","665907.8906106835"
"1","156","0.05","4.26","3","688715.929507864","10","701357.710298951"
"1","195","0.05","7.74","3","724316.9030963279","10","730494.8535998913"
"1","228","0.05","6.68","3","739217.2583516798","10","723782.9596914296"
"1","291","0.04","10.44","3","776368.9796197792","10","767384.2388192199"
"2","3","0.44","5.38","3","479169.7017570764","10","480787.9626944787"
"2","9","0.15","10.65","3","541707.0707254612","10","539897.2140206664"
"2","27","0.07","9.89","3","660221.3869626921","10","667012.6989086914"
"2","93","0.03","10.93","3","777839.537891637","10","782624.2382302878"
"2","417","0.03","10.21","3","784140.0238408921","10","778736.2159544409"
"3","3","0.39","4.67","3","482759.1973940151","10","481877.16398812673"
"3","6","0.09","7.59","3","630170.0854098462","10","613525.3972917198"
"3","27","0.05","2.77","3","705069.575401043","10","669801.2180090685"
"3","39","0.03","9.4","3","778787.0071815616","10","772109.3287730037"
"3","408","0.03","10.52","3","781756.0973202838","10","782601.4840598148"
"3","417","0.03","10.51","3","783427.5537771592","10","774330.8565393281"
"4","3","0.97","9.91","3","463500.9506431006","10","464532.45272825134"
"4","6","0.37","9.040000000000001","3","484458.65644647647","10","483173.9669058241"
"4","12","0.32","1.76","3","490039.13877618714","10","488834.61796956434"
"4","15","0.25","7.08","3","502618.0943505159","10","505183.3497336394"
"4","18","0.1","2.08","3","592464.3778303728","10","577492.1732884843"
"4","30","0.08","1.55","3","603085.1337298197","10","622142.473603468"
"4","48","0.07","5.2","3","655132.0505946842","10","661178.0196174011"
"4","78","0.03","4.4","3","730356.5122122843","10","736931.6028197685"
"4","312","0.02","10.57","3","738033.3995348621","10","760147.9516414042"
"4","372","0.04","5.2","3","739721.6246935608","10","734378.6866031606"
"4","375","0.03","9.61","3","774843.5068375712","10","779368.3741395161"
"4","402","0.03","9.27","3","779645.3867934746","10","776387.3676883442"
"4","471","0.03","10.57","3","789859.7133934796","10","772633.2563399319"
"5","3","0.74","6.51","3","468752.87273847096","10","468420.6050164909"
"5","6","0.59","3.38","3","471569.4903167091","10","471768.0496269975"
"5","12","0.22","5.0600000000000005","3","509725.13403440453","10","511260.5809335255"
"5","15","0.16","1.71","3","532002.5599844464","10","534747.9224701403"
"5","33","0.16","6.59","3","536229.4647051946","10","542129.2204655837"
"5","36","0.11","3.05","3","576065.4417767703","10","578218.2523813075"
"5","66","0.07","4.82","3","686872.0708920278","10","654208.3908136294"
"5","345","0.02","7.67","3","748415.8241115938","10","742635.6018848785"
"5","411","0.03","7.67","3","780061.7633541912","10","776206.2963664676"
"6","3","0.29","7.5","3","496118.28416225174","10","496573.22844517167"
"6","9","0.28","6.1000000000000005","3","499294.5344712699","10","497132.32886950625"
"6","21","0.14","2.3200000000000003","3","540584.4174209869","10","556787.2029673029"
"6","57","0.01","9.92","3","666288.5996610454","10","617503.9897769324"
"6","84","0.03","3.29","3","702515.2321897723","10","707906.7050973795"
"6","153","0.03","6.01","3","762736.6124613819","10","750059.2519747013"
"6","213","0.03","7.98","3","764394.787746075","10","767876.7748175545"
"6","306","0.03","8.620000000000001","3","785381.8190303902","10","767512.6021777482"
"7","3","0.9500000000000001","2.8600000000000003","3","456820.30554374977","10","457885.77632728184"
"7","6","0.86","4.1","3","465328.34946105554","10","464033.61483203934"
"7","12","0.5","10.83","3","474304.56435951794","10","473224.0493231049"
"7","15","0.18","11","3","520635.5116195168","10","524513.8170044776"
"7","45","0.15","6.64","3","545154.6193344016","10","544932.5603960452"
"7","66","0.04","2.85","3","663571.4762573726","10","690445.1745850242"
"7","111","0.02","5.39","3","715403.6496983566","10","716516.4428345691"
"7","168","0.04","10.53","3","753935.2851922376","10","758373.1099833646"
"7","252","0.04","9.38","3","755546.4114657297","10","753459.0540551518"
"7","384","0.03","9.38","3","768743.7921823645","10","778195.0504270172"
