"search-number","evaluation","exploration-probability*","exploration-radius*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","564","0.04","10.44","3","776368.9796197792","10","767384.2388192199"
"2","522","0.03","10.21","3","784140.0238408921","10","778736.2159544409"
"3","534","0.03","10.51","3","783427.5537771592","10","774330.8565393281"
"4","564","0.03","10.57","3","789859.7133934796","10","772633.2563399319"
"5","504","0.03","7.67","3","780061.7633541912","10","776206.2963664676"
"6","576","0.03","8.620000000000001","3","785381.8190303902","10","767512.6021777482"
"7","555","0.03","10.53","3","783850.2121299569","10","777001.084143328"
"8","546","0.04","9.09","3","777921.3113948706","10","761239.670890408"
"9","519","0.03","8.24","3","793590.8023188155","10","768237.5410098439"
"10","528","0.04","5.42","3","738295.0707745632","10","744765.3512239673"
