"search-number","evaluation","exploration-probability*","exploration-radius*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","564","0.04","10.44","3","776368.9796197792","10","767384.2388192199"
"2","522","0.03","10.93","3","777839.537891637","10","782624.2382302878"
"3","534","0.03","10.52","3","781756.0973202838","10","782601.4840598148"
"4","564","0.03","9.61","3","774843.5068375712","10","779368.3741395161"
"5","504","0.03","7.67","3","780061.7633541912","10","776206.2963664676"
"6","576","0.03","7.98","3","764394.787746075","10","767876.7748175545"
"7","555","0.03","9.38","3","768743.7921823645","10","778195.0504270172"
"8","546","0.04","10.790000000000001","3","771268.1125228698","10","761931.9593848884"
"9","519","0.03","10.39","3","767205.0008644415","10","780214.7418700771"
"10","528","0.04","5.42","3","738295.0707745632","10","744765.3512239673"
