"search-number","evaluation","exploration-probability*","exploration-radius*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"1","3","0.07","7.63","661072.2846632702","3","661072.2846632702","665907.8906106835"
"1","6","0.11","5.12","585108.9707061116","3","661072.2846632702","665907.8906106835"
"1","9","0.59","9.65","470178.20100509137","3","661072.2846632702","665907.8906106835"
"1","12","0.14","4.27","550639.9824866792","3","661072.2846632702","665907.8906106835"
"1","15","0.6","1.33","471491.05688056024","3","661072.2846632702","665907.8906106835"
"1","18","0.28","6.29","497026.3830287519","3","661072.2846632702","665907.8906106835"
"1","21","0.9","8.870000000000001","464284.4903729055","3","661072.2846632702","665907.8906106835"
"1","24","0.4","2.1100000000000003","484641.1552648892","3","661072.2846632702","665907.8906106835"
"1","27","0.38","9.88","481552.88829317293","3","661072.2846632702","665907.8906106835"
"1","30","0.5","3.7600000000000002","478578.6025085696","3","661072.2846632702","665907.8906106835"
"1","33","0.47000000000000003","7.97","477006.4791625216","3","661072.2846632702","665907.8906106835"
"1","36","0.1","10.39","593856.0195492095","3","661072.2846632702","665907.8906106835"
"1","39","0.72","3.8000000000000003","468732.9720587354","3","661072.2846632702","665907.8906106835"
"1","42","0.63","3.45","471002.7282898063","3","661072.2846632702","665907.8906106835"
"1","45","0.18","3.44","526771.6555583376","3","661072.2846632702","665907.8906106835"
"1","48","0.14","10.89","553193.0513584496","3","661072.2846632702","665907.8906106835"
"1","51","0.8200000000000001","5.04","466039.45264729083","3","661072.2846632702","665907.8906106835"
"1","54","0.74","5.8100000000000005","466763.06616474694","3","661072.2846632702","665907.8906106835"
"1","57","0.6","9.98","469801.23826456064","3","661072.2846632702","665907.8906106835"
"1","60","0.74","10.89","466568.3015342604","3","661072.2846632702","665907.8906106835"
"1","63","0.37","9.57","482029.7680058887","3","661072.2846632702","665907.8906106835"
"1","66","0.21","2.95","515300.6021783145","3","661072.2846632702","665907.8906106835"
"1","69","0.58","4.71","472129.8779381269","3","661072.2846632702","665907.8906106835"
"1","72","0.99","3.35","458425.43663348496","3","661072.2846632702","665907.8906106835"
"1","75","0.3","1.67","496980.4497237182","3","661072.2846632702","665907.8906106835"
"1","78","0.77","4.4","469009.2102612685","3","661072.2846632702","665907.8906106835"
"1","81","0.75","2.95","470664.579355848","3","661072.2846632702","665907.8906106835"
