"BehaviorSpace results (NetLogo 6.3.0)"
"nl-poseidon.nlogo"
"exploration-prob"
"09/19/2023 19:44:15:636 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","min-mpa-x","exploration-probability","number-of-fishers","hourly-costs","min-mpa-y","diffusion-rate","growth-rate","price-of-fish","max-mpa-x","carrying-capacity","max-mpa-y","catchability","speed","exploration-radius","[step]","mean [ bank-balance ] of fishers"
"2","5","0.01","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","669230.8355053852"
"3","5","0.01","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","647340.3011973462"
"4","5","0.01","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","649824.8095918653"
"1","5","0.01","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","613751.3253727738"
"5","5","0.01","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","631894.9511294388"
"8","5","0.02","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","721080.5362157667"
"6","5","0.02","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","762859.3951504304"
"7","5","0.02","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","764407.8242416327"
"9","5","0.02","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","735002.055266546"
"10","5","0.02","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","738275.2335793498"
"12","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","765282.1061058041"
"11","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","778862.6880392455"
"13","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","779195.1305166447"
"14","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","775961.4866340149"
"15","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","769131.0036615995"
"16","5","0.04","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","776975.2708834485"
"17","5","0.04","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","734345.3470595941"
"18","5","0.04","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","758146.7590962242"
"19","5","0.04","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","784796.0200487674"
"20","5","0.04","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","769414.6957700199"
"21","5","0.05","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","738407.6468437809"
"22","5","0.05","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","721222.3369797411"
"23","5","0.05","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","745927.5884413559"
"24","5","0.05","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","737192.7082426709"
"25","5","0.05","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","726115.1107975908"
"26","5","0.06","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","730454.5566114952"
"27","5","0.06","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","697962.3836477249"
"28","5","0.06","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","717370.8013362954"
"29","5","0.06","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","690456.0115421223"
"30","5","0.06","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","714418.6036190151"
"31","5","0.07","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","657647.1894756026"
"33","5","0.07","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","674923.6210738443"
"32","5","0.07","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","683900.860491416"
"34","5","0.07","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","648717.0645840862"
"35","5","0.07","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","660327.013410991"
"37","5","0.08","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","626433.2289017261"
"36","5","0.08","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","618882.9613845716"
"38","5","0.08","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","640556.5931208052"
"39","5","0.08","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","653132.8887143704"
"40","5","0.08","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","621367.3615170828"
"41","5","0.09","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","600527.4754073505"
"42","5","0.09","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","622512.6497521474"
"43","5","0.09","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","607968.7285304213"
"45","5","0.09","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","609898.6308622343"
"44","5","0.09","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","616224.2843114996"
"46","5","0.1","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","613238.1007870046"
"47","5","0.1","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","593467.6426613051"
"49","5","0.1","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","606427.9490640634"
"48","5","0.1","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","609212.5293845613"
"50","5","0.1","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","622824.1350039297"
"51","5","0.11","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","592400.1910435269"
"53","5","0.11","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","586931.9186957148"
"52","5","0.11","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","571591.6042118997"
"54","5","0.11","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","594393.107780978"
"57","5","0.12","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","562237.8088834716"
"55","5","0.11","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","588177.5174461738"
"56","5","0.12","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","586821.2663832034"
"58","5","0.12","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","572990.4201139762"
"59","5","0.12","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","576751.2062347214"
"60","5","0.12","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","567125.7765469928"
"61","5","0.13","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","559994.2434337834"
"62","5","0.13","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","557542.4326083947"
"63","5","0.13","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","567065.0801264948"
"64","5","0.13","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","556148.283931741"
"65","5","0.13","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","563471.5656584449"
"66","5","0.14","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","556170.4788956436"
"67","5","0.14","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","548145.3409589097"
"68","5","0.14","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","554313.425501217"
"69","5","0.14","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","541329.371105653"
"70","5","0.14","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","556899.328049386"
"71","5","0.15","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","539350.6163413739"
"72","5","0.15","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","540784.350564706"
"73","5","0.15","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","565008.9147579393"
"74","5","0.15","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","544978.4817895032"
"75","5","0.15","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","539592.6463420104"
"76","5","0.16","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","527866.1071409172"
"77","5","0.16","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","532888.1102327813"
"78","5","0.16","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","531037.0443474487"
"79","5","0.16","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","533056.368150017"
"80","5","0.16","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","533340.9630189352"
"81","5","0.17","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","535562.3783565979"
"82","5","0.17","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","533438.7655579792"
"83","5","0.17","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","529783.7037914016"
"84","5","0.17","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","518523.2863485637"
"85","5","0.17","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","533003.6274118625"
"86","5","0.18","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","520264.5292312588"
"87","5","0.18","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","529413.7982112105"
"88","5","0.18","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","528744.7317598094"
"89","5","0.18","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","528160.8031056639"
"90","5","0.18","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","526030.1437703618"
"91","5","0.19","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","530245.9266585594"
"92","5","0.19","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","520615.20883458055"
"93","5","0.19","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","519707.0603916599"
"94","5","0.19","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","524489.3391905671"
"95","5","0.19","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","529871.3229835526"
"96","5","0.2","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","520547.32870703196"
"97","5","0.2","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","507702.96023128094"
"98","5","0.2","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","518430.23046842474"
"99","5","0.2","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","523391.1280206907"
"100","5","0.2","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","518575.9563594392"
"101","5","0.21","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","518007.9988341577"
"102","5","0.21","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","521163.50298699905"
"103","5","0.21","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","507161.7843881512"
"104","5","0.21","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","513830.24714647344"
"105","5","0.21","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","505114.49655353697"
"106","5","0.22","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","507192.2207969582"
"107","5","0.22","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","507609.5063211941"
