"BehaviorSpace results (NetLogo 6.3.0)"
"nl-poseidon.nlogo"
"exploration-radius"
"09/19/2023 19:48:49:976 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","min-mpa-x","exploration-probability","number-of-fishers","hourly-costs","min-mpa-y","diffusion-rate","growth-rate","price-of-fish","max-mpa-x","carrying-capacity","max-mpa-y","catchability","speed","exploration-radius","[step]","mean [ bank-balance ] of fishers"
"3","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","1","8760","610358.0816699426"
"2","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","1","8760","652754.8044633154"
"4","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","1","8760","642205.1407876931"
"1","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","1","8760","650092.4574692182"
"5","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","1","8760","657163.6722139209"
"6","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","1.1","8760","531757.4271558286"
"7","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","1.1","8760","517027.1131410333"
"8","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","1.1","8760","445162.4040466688"
"9","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","1.1","8760","652085.7740848461"
"10","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","1.1","8760","595298.5959460697"
"11","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","1.2","8760","653898.730709596"
"13","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","1.2","8760","660244.392544473"
"12","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","1.2","8760","637704.9413998951"
"14","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","1.2","8760","647052.869698239"
"15","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","1.2","8760","639725.5476228857"
"16","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","1.3","8760","540792.0910495914"
"17","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","1.3","8760","510786.80989631364"
"18","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","1.3","8760","614296.757032089"
