"search-number","evaluation","exploration-probability*","exploration-radius*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","1000","0.03","10.93","10","2.2548098427712545E8","20","1.9378872124877602E8"
"2","1000","0.03","10.93","10","2.1113775272591552E8","20","4.44490171707224E8"
"3","1000","0.03","10.93","10","1.3786816998756137E8","20","1.0993009475937538E8"
"4","1000","0.03","10.93","10","1.5473266873804256E8","20","2.3797013794304767E8"
"5","1000","0.04","10.93","10","2.4193471061786738E8","20","4.7993581461312354E8"
"6","1000","0.03","10.93","10","2.0130299045173207E8","20","2.3455421023336205E8"
"7","1000","0.03","10.93","10","3.198690736593981E8","20","1.675042417480629E8"
"8","1000","0.03","10.93","10","1.7553949273088226E8","20","3.743953858756667E8"
"9","1000","0.03","10.93","10","1.8953858523411784E8","20","1.4749720188117447E8"
"10","1000","0.04","10.93","10","3.225857720590838E8","20","4.3265091847447395E8"
