"search-number","evaluation","min-mpa-x*","max-mpa-x*","min-mpa-y*","max-mpa-y*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","2","2","2","3","-3","2","-116729.19009356847","5","-122095.42918955829"
"1","4","-5","-4","2","2","2","-102152.39751469754","5","-100178.17017477218"
"1","12","4","4","5","-5","2","-86465.5581118364","5","-109250.51593071125"
"1","30","2","5","-4","0","2","-39473.51104532611","5","-69046.56262969426"
"1","32","-5","-1","-1","4","2","224977.2270850158","5","153803.9394831849"
"1","128","-5","5","-4","1","2","423095.8120885618","5","452149.4804330223"
"1","182","-5","5","-4","0","2","444583.090908181","5","349868.69108749874"
"1","234","-5","2","-4","2","2","446879.3919855432","5","431661.890327998"
"1","284","-5","5","-4","2","2","551390.2806328121","5","517476.3668970473"
"1","586","-5","4","-4","4","2","587184.7971840793","5","631548.0062031618"
"1","610","-5","4","-3","4","2","588027.0679071146","5","471513.8283165436"
"1","640","-5","3","-4","4","2","613369.4233049331","5","471211.0747694182"
"1","996","-5","4","-4","4","2","640066.9017292827","5","470642.6454155322"
"2","2","-3","1","-3","-1","2","-79997.36070482616","5","-68576.34037518248"
"2","18","-5","0","-1","1","2","-16409.077336101076","5","-21004.901900540404"
"2","24","-3","0","-3","5","2","120515.8046415142","5","152584.83128032982"
"2","28","-5","5","-1","3","2","271902.2840565516","5","221115.90446965527"
"2","132","-5","5","-3","2","2","371702.0231857315","5","424995.194598721"
"2","224","-5","5","-3","3","2","473754.15090234345","5","480524.42217403406"
"2","368","-5","5","-3","4","2","499334.1653528111","5","452722.5548913954"
"2","434","-5","4","-3","4","2","509845.79018222564","5","463082.7918778563"
"2","556","-5","4","-3","4","2","531309.3655194287","5","453270.84425162"
"3","2","2","4","4","-2","2","-99663.36923665053","5","-101442.44221310702"
"3","4","-3","0","-3","3","2","66803.86038330276","5","47624.68791605966"
"3","14","-2","3","-5","4","2","294629.648668161","5","305824.24394341046"
"3","198","-5","1","-3","3","2","323794.54008451547","5","392440.8731047382"
"3","254","-5","3","-5","3","2","332869.721007016","5","242566.50107466028"
"3","276","-4","3","-5","4","2","608177.6012009386","5","598869.2020999913"
"3","548","-4","4","-5","3","2","608844.2193602005","5","507838.75588807755"
"3","808","-4","4","-5","4","2","707089.781915722","5","595845.7087471334"
"4","2","-4","-5","0","-1","2","-136703.854372","5","-96155.67148519088"
"4","4","5","-4","-5","-3","2","-121414.98560255842","5","-87760.09951331664"
"4","6","4","-5","5","-3","2","-93593.64746619022","5","-104259.11642660666"
"4","22","-5","-1","-5","-1","2","138124.62044219536","5","148876.52691870794"
"4","198","-5","-1","-3","4","2","308962.1292842066","5","275764.7604172966"
"4","350","-5","2","-3","4","2","442489.8685689259","5","446898.13751199766"
"4","580","-5","2","-4","4","2","526222.3264685322","5","503833.8684350578"
"4","720","-5","3","-4","2","2","529851.6374123793","5","487144.12082057"
