"search-number","evaluation","min-mpa-x*","max-mpa-x*","min-mpa-y*","max-mpa-y*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","1006","-5","4","-4","4","2","640066.9017292827","5","470642.6454155322"
"2","1008","-5","4","-3","4","2","531309.3655194287","5","453270.84425162"
"3","1002","-4","4","-5","4","2","707089.781915722","5","595845.7087471334"
"4","1000","-5","4","-4","4","2","601483.1741246141","5","564005.6819030689"
"5","1006","-4","4","-4","5","2","659208.9891534233","5","509597.8028811074"
"6","1008","-5","4","-4","4","2","643985.1198681673","5","588115.1868582407"
"7","1000","-4","3","-5","4","2","626243.406775564","5","500624.53790092317"
"8","1004","-4","4","-5","4","2","634037.4571674324","5","523963.7358438919"
"9","1000","-4","2","-5","4","2","673556.7050568414","5","518644.18579724926"
"10","1004","-5","4","-4","4","2","636309.1299125501","5","555867.4701419261"
