"search-number","evaluation","min-mpa-x*","max-mpa-x*","min-mpa-y*","max-mpa-y*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","1006","-5","4","-4","4","2","587184.7971840793","5","631548.0062031618"
"2","1008","-5","5","-3","3","2","473754.15090234345","5","480524.42217403406"
"3","1002","-4","3","-5","4","2","608177.6012009386","5","598869.2020999913"
"4","1000","-5","4","-4","4","2","601483.1741246141","5","564005.6819030689"
"5","1006","-4","0","-5","5","2","552947.3078864804","5","637468.0255555589"
"6","1008","-5","4","-4","4","2","643985.1198681673","5","588115.1868582407"
"7","1000","-4","2","-5","4","2","621180.7174324291","5","545752.4742401624"
"8","1004","-4","2","-5","4","2","586565.6883158037","5","616395.9363987598"
"9","1000","-4","3","-4","5","2","654923.5479966474","5","611160.3020822627"
"10","1004","-5","4","-4","4","2","633403.98917941","5","590335.7856864806"
